Date,Equity
2021-09-28,128844.0062620505
2021-09-29,128466.11006329348
2021-09-30,128465.58166031222
2021-10-01,128830.7081203557
2021-10-04,128889.36085127442
2021-10-05,128693.76368104853
2021-10-06,128738.06146430995
2021-10-07,127676.49987497946
2021-10-08,127554.8791221285
2021-10-11,128094.29049882083
2021-10-12,128987.55573862331
2021-10-13,129362.01731800221
2021-10-14,129459.06733222505
2021-10-15,129563.77918967602
2021-10-18,129181.12736408776
2021-10-19,129695.43959917071
2021-10-20,130186.32596875161
2021-10-21,129918.0733886039
2021-10-22,129117.89514066488
2021-10-25,129359.55143742304
2021-10-26,130031.15162659131
2021-10-27,129811.68825504564
2021-10-28,129969.24041062157
2021-10-29,130204.90814025889
2021-11-01,130748.63480796476
2021-11-02,131044.10014164684
2021-11-03,130556.82452577114
2021-11-04,131029.74519398954
2021-11-05,130885.40311294486
2021-11-08,130919.30897090837
2021-11-09,131419.88272847887
2021-11-10,130426.22092223895
2021-11-11,130906.36309786775
2021-11-12,130340.44350494942
2021-11-15,130048.23665631838
2021-11-16,130706.27450230124
2021-11-17,131372.590661657
2021-11-18,130940.0928215042
2021-11-19,130399.09623586813
2021-11-22,129601.29580134474
2021-11-23,129171.7041775888
2021-11-24,130016.70861177047
2021-11-25,130132.5169318277
2021-11-26,129622.51998775828
2021-11-29,129570.91262992288
2021-11-30,128890.85799305463
2021-12-01,128862.14809774006
2021-12-02,129236.78581144605
2021-12-03,128524.85086137571
2021-12-06,128983.0643132827
2021-12-07,129814.77060576959
2021-12-08,130321.42099762443
2021-12-09,130045.15430559442
2021-12-10,130561.75628692948
2021-12-13,130055.54623089233
2021-12-14,129514.46157809271
2021-12-15,130661.36024889501
2021-12-16,129996.45316415592
2021-12-17,129589.49480143018
2021-12-20,129474.47908584483
2021-12-21,129539.03231672083
2021-12-22,130246.387774287
2021-12-23,130687.07586064917
2021-12-24,131438.2006984955
2021-12-27,131881.53079976395
2021-12-28,132064.00596262212
2021-12-29,131303.63407260395
2021-12-30,131402.7976987518
2021-12-31,131019.96973883643
2022-01-03,130646.21269676587
2022-01-04,130510.50119774826
2022-01-05,131650.0902939766
2022-01-06,132224.46433459493
2022-01-07,132823.4091138414
2022-01-10,132224.8166032491
2022-01-11,132243.39877475638
2022-01-12,132138.42271581478
2022-01-13,132321.42628165425
2022-01-14,132810.5513079643
2022-01-17,132749.3446293029
2022-01-18,132836.26691971847
2022-01-19,133235.73957354316
2022-01-20,133490.34174334194
2022-01-21,133979.29063532493
2022-01-24,132388.26925878233
2022-01-25,131850.7953596879
2022-01-26,131782.89557659734
2022-01-27,131238.3763044196
2022-01-28,130661.36024889501
2022-01-31,129295.70274385538
2022-02-01,129655.63324124992
2022-02-02,129498.69755581877
2022-02-03,129031.94158904828
2022-02-04,129931.72379895284
2022-02-07,129701.86850210925
2022-02-08,130170.47387931412
2022-02-09,130310.41260218172
2022-02-10,130658.27789817107
2022-02-11,129570.38422694165
2022-02-14,129500.72310058023
2022-02-15,129285.66308721164
2022-02-16,129658.3633233197
2022-02-17,131134.54511860406
2022-02-18,131984.5693811076
2022-02-21,132723.9812862029
2022-02-22,131900.64137425247
2022-02-23,132038.64261952214
2022-02-24,131922.7462323014
2022-02-25,131148.8119990978
2022-02-28,131342.7358932164
2022-03-01,131914.0275831108
2022-03-02,132116.58205925647
2022-03-03,132651.3258762811
2022-03-04,133437.501445217
2022-03-07,133237.500916814
2022-03-08,134385.8967293965
2022-03-09,133895.36262846977
2022-03-10,133784.39800240737
2022-03-11,133773.91800994592
2022-03-14,133536.31280271066
2022-03-15,132682.2374506842
2022-03-16,133303.5512894702
2022-03-17,134395.8483188767
2022-03-18,134714.3872494067
2022-03-21,134803.07088309308
2022-03-22,134601.66128007346
2022-03-23,134896.2459421201
2022-03-24,135269.03424539173
2022-03-25,135178.67733559804
2022-03-28,134833.01371869724
2022-03-29,133317.9062371275
2022-03-30,133318.69884159937
2022-03-31,134152.34261168417
2022-04-01,134208.089126206
2022-04-04,133314.64775207645
2022-04-05,132858.90018074866
2022-04-06,131963.52132902117
2022-04-07,130827.01458351678
2022-04-08,131662.33162970887
2022-04-11,131777.5234796213
2022-04-12,132053.5259701607
2022-04-13,130837.23037448761
2022-04-14,131149.8688050603
2022-04-15,131549.42952604854
2022-04-18,132259.69120001158
2022-04-19,131688.3995101172
2022-04-20,130996.72000766144
2022-04-21,131709.27142787655
2022-04-22,132085.4943505263
2022-04-25,131937.36538144932
2022-04-26,132377.70119915734
2022-04-27,133389.0645052691
2022-04-28,133586.42301876584
2022-04-29,133914.56127012183
2022-05-02,134486.6455644881
2022-05-03,134951.37598649715
2022-05-04,134886.2943526399
2022-05-05,134957.89295659924
2022-05-06,133841.55359154585
2022-05-09,133090.340686536
2022-05-10,134605.88850392343
2022-05-11,134440.5441840121
2022-05-12,134259.0798185705
2022-05-13,135510.48061801103
2022-05-16,136503.3149866204
2022-05-17,134849.53771311947
2022-05-18,134558.0248180146
2022-05-19,134961.87725342985
2022-05-20,134523.35002621164
2022-05-23,133676.97278457117
2022-05-24,134165.37571512087
2022-05-25,133799.9738597119
2022-05-26,133828.70597317204
2022-05-27,133878.16416892415
2022-05-30,134336.63557751244
2022-05-31,133869.9092496726
2022-06-01,133385.6394761625
2022-06-02,133232.13694476165
2022-06-03,132387.52093948514
2022-06-06,131596.082244651
2022-06-07,132055.52698903458
2022-06-08,130113.97749896234
2022-06-09,130229.77076363564
2022-06-10,130662.88122528518
2022-06-13,130541.55868317703
2022-06-14,130891.80225155818
2022-06-15,130684.87824402246
2022-06-16,132073.3592874776
2022-06-17,132600.13762962847
2022-06-20,132335.98656208074
2022-06-21,132815.19646702128
2022-06-22,133009.29371588782
2022-06-23,133579.42857757208
2022-06-24,133574.76511171486
2022-06-27,134160.8147175088
2022-06-28,133720.73361792677
2022-06-29,134514.65234925924
2022-06-30,135295.13688902714
2022-07-01,134108.4313699792
2022-07-04,132897.1189335645
2022-07-05,132828.09524395943
2022-07-06,131190.5605071711
2022-07-07,131595.83460086747
2022-07-08,131495.78527846033
2022-07-11,131122.93493060922
2022-07-12,131125.45526537867
2022-07-13,132527.8680386368
2022-07-14,133272.32063175866
2022-07-15,136865.81924088104
2022-07-18,140458.92554110158
2022-07-19,144052.11990848565
2022-07-20,147645.5304504445
2022-07-21,151062.59049074538
2022-07-22,150046.4230847713
2022-07-25,149030.5599205355
2022-07-26,148014.39251456142
2022-07-27,146998.22510858733
2022-07-28,145982.05770261324
2022-07-29,144965.89029663915
2022-08-01,143949.72289066506
2022-08-02,142933.55548469097
2022-08-03,141514.4434134326
2022-08-04,139267.61272990023
2022-08-05,141825.7539137841
2022-08-08,144383.76520645185
2022-08-09,146941.77649911965
2022-08-10,149500.3938647357
2022-08-11,152058.40515740344
2022-08-12,154616.4164500712
2022-08-15,157174.427742739
2022-08-16,159732.4390354068
2022-08-17,162291.05640102283
2022-08-18,164849.0676936906
2022-08-19,167407.20887757448
2022-08-22,169965.22017024225
2022-08-23,171836.72789515083
2022-08-24,172683.43265288314
2022-08-25,173530.13741061545
2022-08-26,167910.79250392638
2022-08-29,168241.1990317371
2022-08-30,168165.74708063484
2022-08-31,167799.13578596455
2022-09-01,168867.63277092893
2022-09-02,169580.47116380237
2022-09-05,169157.57514754368
2022-09-06,168931.2192942369
2022-09-07,168757.19301992038
2022-09-08,168888.6254508727
2022-09-09,169186.4781126837
2022-09-12,169138.1036762915
2022-09-13,168488.85180672602
2022-09-14,168892.5805934708
2022-09-15,168888.6254508727
2022-09-16,169078.1680538433
2022-09-19,169767.88407460478
2022-09-20,169581.99237249396
2022-09-21,169575.60329598933
2022-09-22,169580.16692206406
2022-09-23,169595.98749245645
2022-09-26,170362.37243127346
2022-09-27,170261.97265762932
2022-09-28,170646.83845659852
2022-09-29,170727.15827551385
2022-09-30,170599.6809871596
2022-10-03,171028.6618381846
2022-10-04,170821.04961567294
2022-10-05,170418.12189114242
2022-10-06,169753.8982557134
2022-10-07,172079.4473103685
2022-10-10,170852.1183883598
2022-10-11,171008.79409354282
2022-10-12,171774.625371474
2022-10-13,171916.9251763343
2022-10-14,171958.60407130068
2022-10-17,173162.62919180538
2022-10-18,174619.94219438103
2022-10-19,174017.58650698798
2022-10-20,174256.39079212307
2022-10-21,173399.68538658775
2022-10-24,172316.53729227686
2022-10-25,172158.7796731263
2022-10-26,172668.93233073482
2022-10-27,173986.8511472551
2022-10-28,173601.15955883366
2022-10-31,173491.65609734558
2022-11-01,174043.97916914412
2022-11-02,176034.61901521223
2022-11-03,176173.66795601393
2022-11-04,176921.19968810477
2022-11-07,175156.52103143316
2022-11-08,176292.82712332116
2022-11-09,176414.48448908597
2022-11-10,176041.92515822765
2022-11-11,175333.9577780994
2022-11-14,175027.98296248226
2022-11-15,174509.56560707794
2022-11-16,175347.0392152784
2022-11-17,175803.8430015696
2022-11-18,175816.66281000501
2022-11-21,176582.8425855799
2022-11-22,176640.139280424
2022-11-23,176210.67569783694
2022-11-24,177007.98929389787
2022-11-25,177307.94664841265
2022-11-28,176777.10192768826
2022-11-29,176695.34294531943
2022-11-30,176257.8996860532
2022-12-01,175565.63003053976
2022-12-02,176047.8118049582
2022-12-05,177038.20741378138
2022-12-06,176321.99872823036
2022-12-07,176628.36598696286
2022-12-08,176308.3940335642
2022-12-09,176075.28282303415
2022-12-12,175789.97667815984
2022-12-13,175369.8009159699
2022-12-14,175410.74581434022
2022-12-15,175011.76198038028
2022-12-16,175161.80606482358
2022-12-19,175153.433945029
2022-12-20,175051.3987350327
2022-12-21,174618.79560752268
2022-12-22,174353.3732471605
2022-12-23,174735.4820271595
2022-12-26,174997.2415851116
2022-12-27,174530.75753530793
2022-12-28,174595.37983497226
2022-12-29,174978.4043155738
2022-12-30,174170.62556976968
2023-01-02,174448.34448108013
2023-01-03,174142.63129420657
2023-01-04,174433.30082832428
2023-01-05,174078.79388077298
2023-01-06,173228.1080210217
2023-01-09,172482.85854493326
2023-01-10,172520.00982652165
2023-01-11,172653.83292886298
2023-01-12,172254.19502304407
2023-01-13,172558.46925182795
2023-01-16,171813.74303322667
2023-01-17,171799.09182358618
2023-01-18,171273.74130647696
2023-01-19,171002.8247424996
2023-01-20,171037.88299413933
2023-01-23,170678.40510046002
2023-01-24,170527.576129786
2023-01-25,170971.42929326996
2023-01-26,170735.8326096759
2023-01-27,171109.56926988033
2023-01-30,170631.83518410273
2023-01-31,170873.18770005554
2023-02-01,171510.5153194171
2023-02-02,170433.52059646888
2023-02-03,170108.57769694217
2023-02-06,170365.3663087662
2023-02-07,170293.28758990986
2023-02-08,170464.65441695493
2023-02-09,170221.47049979705
2023-02-10,170272.09566167984
2023-02-13,170220.42398482273
2023-02-14,170727.72211862492
2023-02-15,170851.34169996658
2023-02-16,171011.58930540952
2023-02-17,170847.1556400693
2023-02-20,170651.06489675588
2023-02-21,170479.82888408258
2023-02-22,170662.18411835804
2023-02-23,170495.9190518128
2023-02-24,170633.6665853078
2023-02-27,171537.4630800059
2023-02-28,171937.36261456835
2023-03-01,171806.15579966284
2023-03-02,172357.01511927115
2023-03-03,172186.69480720037
2023-03-06,171280.80528255363
2023-03-07,170853.56554428703
2023-03-08,170060.045565008
2023-03-09,169926.4840914103
2023-03-10,169948.06846275568
2023-03-13,170663.23063333236
2023-03-14,170817.72240641652
2023-03-15,170737.66401088098
2023-03-16,171108.7843836496
2023-03-17,170159.8569306839
2023-03-20,170273.27299102597
2023-03-21,170613.52117205213
2023-03-22,169994.63837911296
2023-03-23,170487.8085607618
2023-03-24,170646.35557937145
2023-03-27,170482.57598589017
2023-03-28,170766.57398704658
2023-03-29,171758.53936833123
2023-03-30,171854.42630285342
2023-03-31,171980.13891414372
2023-04-03,171789.01911695834
2023-04-04,171424.96272026637
2023-04-05,171805.3709134321
2023-04-06,171438.30578618898
2023-04-07,171484.48325943088
